PREFERENCE,PROPERTY_TYPE,CITY,LOCALITY,TRANSACT_TYPE,OWNTYPE,BEDROOM_NUM,BATHROOM_NUM,BALCONY_NUM,FURNISH,FACING,AGE,FLOOR_NUM,TOTAL_FLOOR,MAX_PRICE,PRICE_SQFT,LISTING,AMENITIES
S,Residential Apartment,Gurgaon,Sector 54 Gurgaon,1,1,3,4,3,1,5,1,25,30,55000000,23913,R,"10,32,17,2,5,8,20,21,44,23,24,46,47,29,30,19,1,6,9,40,41,42,43,25,26,31,33,12,3,101,102,103"
S,Residential Apartment,Gurgaon,Sector 113 Gurgaon ,1,1,4,4,4,0,0,5,11,28,32125000,12500,R,"21,1,12,3"
S,Residential Apartment,Gurgaon,Sector 113 Gurgaon ,1,1,4,4,4,0,0,5,11,28,31375000,12500,R,"21,1,12,3"
S,Residential Apartment,Gurgaon,Sector 106 Gurgaon,1,1,4,4,4,4,3,5,10,38,42113500,15500,R,"21,6,41,42,43,12,3,26,103"
S,Residential Apartment,Gurgaon,Sector 106 Gurgaon,1,1,3,3,3,4,3,5,9,38,40300000,15500,R,"2,14,14,24,31,23,26,100"
S,Residential Apartment,Gurgaon,Sector 113 Gurgaon ,1,1,3,3,2,0,3,5,8,36,18975000,11396,R,"21,1,42,12,3,26"
S,Residential Apartment,Gurgaon,Sector 108 Gurgaon,1,1,4,4,3,0,3,5,10,24,29450000,10109,R,"2,20,21,1,6,42,33,12,3,26"
S,Residential Apartment,Gurgaon,Sector 108 Gurgaon,1,1,3,3,2,0,3,5,8,24,23436000,15499,R,"20,21,1,6,42,33,12,3,26"
S,Residential Apartment,Gurgaon,Sector 108 Gurgaon,1,1,3,3,3,0,3,5,10,24,27125000,15544,R,"2,20,21,1,6,42,33,12,3,26"
S,Residential Apartment,Gurgaon,Sector 106 Gurgaon,1,1,3,3,3,0,0,5,7,34,13837500,7282,R,"20,21,23,1,6,29,9,12,3"
S,Residential Apartment,Gurgaon,Sector 106 Gurgaon,1,1,3,3,3,0,0,5,7,34,27675000,13500,R,"20,21,23,1,6,29,9,12,3"
S,Residential Apartment,Gurgaon,Sector 102 Gurgaon,1,1,3,4,4,0,1,1,14,25,19000000,9783,R,"32,10,17,5,20,21,44,23,45,24,46,47,29,30,39,19,1,6,9,40,41,42,43,25,26,31,33,12,3,101,102"
S,Residential Apartment,Gurgaon,Sector 60 Gurgaon,1,1,2,3,3,4,5,1,10,39,22000000,14965,R,"10,32,17,5,20,21,44,23,46,47,29,30,19,1,6,9,40,41,42,43,25,26,31,33,12,3,101,102"
S,Residential Apartment,Gurgaon,Sector 60 Gurgaon,1,1,3,4,3,4,5,1,14,39,31000000,15121,R,"10,32,17,2,5,20,21,44,23,24,46,47,29,30,19,1,6,9,40,41,42,43,25,26,31,33,12,3,101,102"
S,Residential Apartment,Gurgaon,Sector 61 Gurgaon,1,1,3,3,3,4,5,2,18,32,22000000,12941,R,"17,5,20,21,10,32,23,24,46,29,19,1,6,9,40,41,42,43,33,12,25,26,3,31,101,102"
R,Residential Apartment,Gurgaon,Sector 62 Gurgaon,,0,4,5,4,4,1,1,14,27,150000,48,R,"10,32,17,2,5,20,21,44,23,45,24,46,47,29,30,39,19,1,6,9,40,41,42,43,25,26,31,33,12,3,101,102"
R,Residential Apartment,Gurgaon,Sector 62 Gurgaon,,0,4,6,4,4,1,1,30,34,250000,32,R,"32,10,17,2,5,8,20,21,44,23,24,46,47,29,30,19,1,6,9,40,41,42,43,25,26,31,33,12,3,101,102,103"
R,Residential Apartment,Gurgaon,Sector 54 Gurgaon,,0,3,5,3,1,1,3,14,17,238000,82,R,"32,17,2,5,20,21,44,23,24,46,29,39,19,1,6,9,40,41,42,43,25,26,31,33,12,3,101,102,103"
R,Residential Apartment,Gurgaon,Sector 54 Gurgaon,,0,3,4,4,1,1,1,25,30,199000,90,R,"32,17,2,5,8,20,21,44,23,45,24,46,47,29,30,39,19,1,6,9,40,41,42,43,25,26,31,33,12,3,101,102,103"
R,Residential Apartment,Gurgaon,Sector 104 Gurgaon,,0,3,4,3,4,5,1,12,29,45000,18,R,"10,32,17,5,8,20,21,44,23,45,24,46,47,28,29,30,39,19,1,6,9,40,41,42,43,25,26,31,33,12,3,101,102,103"
R,Residential Apartment,Gurgaon,Sector 54 Gurgaon,,0,3,4,4,1,0,1,12,30,165000,76,R,"32,17,2,5,8,20,21,44,23,45,24,46,29,30,19,1,6,9,40,41,42,43,26,31,33,12,3,103"
R,Residential Apartment,Gurgaon,Sector 60 Gurgaon,,0,3,3,3,4,5,1,G,39,75000,36,R,"32,17,2,5,20,21,44,23,24,46,29,30,19,1,6,9,40,41,42,43,26,31,33,12,3"
S,Residential Apartment,Gurgaon,Sector 53 Gurgaon,1,1,3,4,4,4,0,3,13,18,48000000,16580,R,"17,5,8,20,21,32,10,44,23,45,24,29,19,1,6,40,41,42,12,3,103"
R,Residential Apartment,Gurgaon,Sector 53 Gurgaon,,0,4,6,3,4,1,2,5,18,155000,45,R,"10,32,17,5,8,20,21,44,23,45,24,46,47,29,30,39,19,1,6,9,40,41,42,43,25,26,31,33,12,3,103"
R,Residential Apartment,Gurgaon,Sector 54 Gurgaon,,0,3,4,4,4,5,1,14,30,150000,65,R,"32,17,2,5,8,20,21,44,23,45,24,46,29,30,19,1,6,9,40,41,42,43,26,31,33,12,3,101,103"
S,Residential Apartment,Gurgaon,DLF Phase 2,1,1,4,4,3,4,3,2,1,19,33000000,14316,R,"5,17,20,21,23,24,6,19,101,102,103"
S,Independent/Builder Floor,Gurgaon,Sector 82 Gurgaon,1,1,2,2,2,4,3,1,G,2,7975000,44305,R,"17,5,8,32,23,24,29,19,6,9,40,12,25,26,101,102"
S,Residential Apartment,Gurgaon,Sector 113 Gurgaon ,1,1,2,2,3,4,5,6,5,25,19000000,12078,R,"5,17,20,21,24,6,19,101,102"
S,Residential Land,Gurgaon,Sector 108 Gurgaon,1,1,,0,,0,5,0,,4,63400000,12761,R,"5,23,24,26"
S,Residential Land,Gurgaon,Block B Sushant Lok Phase - 3,1,1,,0,,0,5,0,,3,37000000,159482,R,"5,23,24"
R,Residential Apartment,Gurgaon,Sector 62 Gurgaon,,0,2,2,2,4,0,6,18,32,70000,46,R,"17,20,21,23,24,6,19,101,102,103"
S,Residential Apartment,Gurgaon,Sector 54 Gurgaon,1,1,3,4,3,1,0,1,29,30,55000000,23913,R,"2,5,20,21,23,29,1,6,9,30,33,12,26,3,31,103"
S,Independent/Builder Floor,Gurgaon,Sector 82 Gurgaon,1,1,2,2,2,4,1,1,G,2,8000000,44444,R,"5,32,23,24,6,29,19,25,26,102"
S,Independent/Builder Floor,Gurgaon,South City 2,1,1,4,4,3,4,5,6,1,4,34000000,11764,R,"17,5,20,32,10,21,23,45,24,46,19,6,9,40,41,30,42,103"
S,Residential Apartment,Gurgaon,DLF Phase 5,1,1,4,4,4,4,2,2,11,20,52500000,18669,R,"5,17,20,21,23,24,6,19,101,102,103"
S,Residential Apartment,Gurgaon,DLF Phase 5,1,1,4,4,3,4,1,2,7,20,50000000,19157,R,"17,5,20,21,32,23,24,46,47,19,1,6,9,40,41,33,12,25,26,3,31,101,102,103"
S,Residential Apartment,Gurgaon,Sector 28 Gurgaon,1,1,6,7,4,4,4,1,12,12,60000000,11214,R,"17,5,8,20,21,23,24,46,47,28,29,19,1,6,9,40,41,33,12,25,26,3,31,101,102,103"
S,Independent/Builder Floor,Gurgaon,Sector 57 Gurgaon,1,1,3,3,2,4,4,6,2,4,19000000,11949,R,"5,20,32,21,23,45,24,46,19,6,40,41,30,42,101,102,103"
S,Residential Apartment,Gurgaon,Sector 112 Gurgaon,1,1,2,2,3,4,5,1,8,28,30000000,12290,R,"10,32,17,2,5,8,20,21,44,23,24,46,47,28,29,30,39,19,1,6,9,40,41,42,43,25,26,31,33,12,3,101,102"
S,Independent House/Villa,Gurgaon,DLF Phase 3,1,1,7,7,4,2,5,3,,4,35000000,291666,P,"23,24,25,26"
R,Residential Apartment,Gurgaon,Sector 62 Gurgaon,,0,2,2,2,4,5,6,8,32,62000,41,P,"5,17,20,21,23,24,6,19,101,102,103"
R,Residential Apartment,Gurgaon,Sector 62 Gurgaon,,0,4,4,4,4,5,2,16,25,75000,29,P,"5,17,20,21,23,24,6,19,101,102,103"
R,Independent/Builder Floor,Gurgaon,DLF Phase 2,,0,4,4,3,4,6,6,2,4,150000,55,P,"23,24,26,103"
R,Residential Apartment,Gurgaon,DLF Phase 5,,0,4,4,2,4,5,2,7,15,80000,45,R,"5,8,20,21,23,24,19,1,6,9,12,25,26,3,103"
S,Residential Apartment,Gurgaon,DLF Phase 5,1,1,3,3,0,0,0,2,10,15,24500000,15934,R,
S,Residential Apartment,Gurgaon,DLF Phase 5,1,1,4,4,4,4,8,3,7,20,51000000,19540,R,"17,20,21,23,24,6,19,101,102"
S,Independent House/Villa,Gurgaon,Sector 42 Gurgaon,1,1,19,19,4,4,8,2,,3,103500000,202148,R,"8,44,23,45,24,46,47,19,9,25,26,101,102"
R,Independent/Builder Floor,Gurgaon,Sector 55 Gurgaon,,0,2,2,1,4,3,1,3,3,35000,218,R,"5,24,19,26,102"
S,Residential Apartment,Gurgaon,Sector 54 Gurgaon,1,1,4,6,4,4,3,2,12,17,96000000,24704,R,"17,5,20,21,44,23,45,24,46,47,29,19,1,6,30,33,12,26,3,31,101,102,103"
R,Independent/Builder Floor,Gurgaon,DLF Phase 5,,0,3,3,2,1,1,3,G,3,75000,38,R,"5,32,23,24,6,29,19,25,26,103"
R,Independent/Builder Floor,Gurgaon,DLF Phase 5,,0,3,3,2,1,3,3,1,3,70000,37,R,"5,32,23,24,6,19,25,26,103"
R,Residential Apartment,Gurgaon,Sector 48 Gurgaon,,0,2,2,3,4,5,1,7,17,95500,56,R,"10,32,17,5,8,20,21,44,23,45,24,46,47,28,29,30,39,19,1,6,9,40,41,42,43,25,26,31,33,12,3,101,102,103"
R,Residential Apartment,Gurgaon,Sector 48 Gurgaon,,0,1,1,0,1,5,1,8,17,60000,71,R,"32,10,17,5,8,20,21,44,23,45,24,46,47,28,29,30,39,19,1,6,9,40,41,42,43,25,26,31,33,12,3,101,102,103"
S,Residential Land,Gurgaon,Sector-33 Sohna,1,1,,0,,0,1,0,,4,36784000,152000,R,"5,23,24,26"
R,Residential Apartment,Gurgaon,DLF Phase 2,,0,3,4,4,4,3,2,2,12,100000,37,R,"2,5,20,21,44,23,45,1,6,9,30,33,12,25,26,3,31,101,102,103"
R,Residential Apartment,Gurgaon,Sector 37D Gurgaon,,0,3,3,4,4,3,1,16,22,29000,16,R,"17,2,5,20,21,44,23,45,24,46,47,29,19,1,6,30,33,12,25,26,3,31,101,102,103"
R,Residential Apartment,Gurgaon,Sector 37D Gurgaon,,0,3,3,4,1,3,6,1,22,39000,21,R,"17,2,5,20,21,44,23,45,24,46,47,29,19,1,6,30,33,12,25,26,3,31,101,102,103"
R,Residential Apartment,Gurgaon,Sector 37D Gurgaon,,0,3,3,2,4,5,1,G,13,19200,16,R,"17,5,20,21,44,23,45,24,46,47,29,19,1,6,30,33,12,25,26,3,31,101,102"
S,Residential Apartment,Gurgaon,Sector 90 Gurgaon,1,1,3,3,3,2,3,1,11,19,15500000,9106,R,"17,2,5,20,21,44,23,24,47,28,19,1,6,43,33,12,25,26,3,31"
R,Residential Apartment,Gurgaon,Sector 28 Gurgaon,,0,3,3,3,1,1,3,3,17,65000,37,R,"2,12,32,46,19,103"
R,Residential Apartment,Gurgaon,DLF Phase 2,,0,4,4,2,4,3,3,11,20,60000,35,R,"17,2,5,20,21,44,23,45,24,46,47,29,1,6,9,30,33,12,25,26,3,101,102,103"
R,Residential Apartment,Gurgaon,Sector 54 Gurgaon,,0,4,6,2,4,1,2,9,18,160000,50,R,"2,5,20,21,44,23,45,24,46,47,29,19,1,6,9,30,33,12,25,26,3,31,101,102,103"
R,Residential Apartment,Gurgaon,Sector 54 Gurgaon,,0,4,4,4,1,3,2,2,30,200000,68,R,"17,2,5,20,21,23,45,24,46,47,29,19,1,6,30,33,12,25,26,3,31,101,102,103"
S,Residential Land,Gurgaon,South City 2,1,1,,0,,0,2,0,,4,72000000,200000,R,"23,24,26"
R,Residential Apartment,Gurgaon,Sector 48 Gurgaon,,0,1,1,1,1,5,1,9,17,75000,80,R,"10,32,17,5,8,20,21,44,23,45,24,46,47,28,29,30,39,19,1,6,9,40,41,42,43,25,26,31,33,12,3,101,102,103"
S,Residential Apartment,Gurgaon,Sector 103 Gurgaon,1,1,3,4,4,4,3,6,15,19,12700000,6546,R,"10,32,17,5,8,20,21,44,23,45,24,46,47,28,29,30,39,19,1,6,9,40,41,42,43,25,26,31,33,12,3,101,102"
S,Residential Apartment,Gurgaon,Sector 103 Gurgaon,1,1,3,4,4,4,5,1,5,11,11000000,7357,R,"10,32,17,5,8,20,21,44,23,45,24,46,47,28,29,30,39,19,1,6,9,40,41,42,43,25,26,31,33,12,3,101,102"
R,Independent House/Villa,Gurgaon,"Block C, Sushant Lok Phase 1",,0,8,9,4,1,3,2,,3,200000,930,R,"8,44,23,45,24,46,47,28,29,19,1,6,9,30,43,12,25,26,3,101,102,103"
S,Residential Apartment,Gurgaon,Sector 104 Gurgaon,1,1,3,2,2,4,5,5,28,35,14500000,10669,R,"10,32,17,2,5,8,20,21,44,23,45,24,46,47,28,29,30,39,19,1,6,9,40,41,42,43,25,26,31,33,12,3,101,102,103"
S,Independent/Builder Floor,Gurgaon,Sector 63 Gurgaon,1,1,5,5,2,4,8,1,1,4,54500000,21800,R,"5,32,23,24,6,29,19,25,26,101,102,103"
R,Residential Apartment,Gurgaon,Sector 102 Gurgaon,,0,3,3,3,4,5,1,6,26,33000,17,R,"10,32,17,5,8,20,21,44,23,45,24,46,47,28,29,30,39,19,1,6,9,40,41,42,43,25,26,31,33,12,3,101,102,103"
R,Independent/Builder Floor,Gurgaon,DLF Phase 1,,0,4,4,4,4,3,6,2,4,120000,400,R,"5,32,10,44,23,45,24,46,47,28,29,19,1,6,9,30,43,12,25,26,3,101,102,103"
S,Residential Apartment,Gurgaon,Sector 107 Gurgaon,1,1,2,2,3,2,0,1,5,14,9500000,6192,R,"20,21,23,6"
S,Residential Apartment,Gurgaon,DLF Phase 2,1,1,4,4,2,1,3,3,16,20,24000000,14026,R,"17,2,5,20,21,44,23,45,24,46,47,29,19,1,6,9,30,33,12,25,26,3,31,101,102,103"
S,Residential Land,Gurgaon,Sohna,1,1,,0,,0,5,0,,1,300000000,16666666,R,"5,23,24,26"
S,Residential Apartment,Gurgaon,Sector 112 Gurgaon,1,1,3,3,4,2,7,6,16,28,37900000,13526,R,"10,32,17,2,5,8,20,21,44,23,24,46,47,30,19,1,6,9,40,41,42,43,25,26,31,33,12,3,101,102"
